,beach,school,bank,restaurant,gym,spa,nightclub,office,hotel,kitchen,playground,stadium
cap,0.266854,0.31572828,0.43116286,0.23963465,0.34742492,0.088382676,0.004311312,0.3842427,0.24935032,0.22295794,0.16506276,0.31436026
chair,0.36846405,0.5650883,0.282952,0.3939188,0.58997226,0.201882,0.10777693,0.63665664,0.3323719,0.57174325,0.33520043,0.28687906
laptop,0.1157486,0.24934569,0.107626095,0.24289002,0.4308954,0.2100138,0.045867942,0.35143617,0.25369954,0.46835083,0.33021706,0.12771955
telephone,0.344755,0.30007672,0.47857222,0.42601806,0.17907211,0.38159496,0.17177527,0.6436309,0.44237936,0.3398609,0.116469525,0.20900358
friend,0.34734738,0.46853277,0.26834953,0.4346725,0.27789396,0.14458773,0.25503486,0.48766938,0.39172095,0.43996227,0.22771649,0.16074486
pen,0.26904553,0.16864076,0.14443229,0.2164902,0.14985323,0.18887778,0.032808684,0.26949364,0.09253457,0.22258437,0.09249749,0.098755255
bed,0.53838,0.38285357,0.2946623,0.5363536,0.57004505,0.31091237,0.30623323,0.42878413,0.55147445,0.74117756,0.5216806,0.22068149
candles,0.1019308,0.08661436,-0.053851534,0.26884344,0.2708585,0.060283143,0.17970334,0.063871294,0.2958829,0.45733914,0.2640552,0.29785156
bicycle,0.3981952,0.34369147,0.05204415,0.4222613,0.5072694,0.24128756,0.3578624,0.25603017,0.357903,0.35819286,0.5055282,0.1947664
towel,0.29675773,0.0022404715,0.07272997,0.32816193,0.40757132,0.17890874,0.08537278,0.26431388,0.1671015,0.60755265,0.31882527,0.23827416
bench,0.28399622,0.4541803,0.2338754,0.23914084,0.44637737,0.0252022,0.1591681,0.4377901,0.2719452,0.35486025,0.25191605,0.52678055
cloud,0.42763194,0.18112564,0.23801269,0.12942746,0.2690414,0.20261423,0.103211306,0.3511405,0.23598254,0.2615466,0.33855575,0.30448025
cake,0.2572536,0.027114242,0.03678201,0.5213999,0.19867307,0.28810024,0.044972844,0.15109928,0.20757407,0.65362453,0.16958559,0.021520369
mirror,0.25123826,0.19331485,0.32632908,0.3022504,0.2787271,0.15352577,0.15596423,0.40803415,0.32415015,0.40737388,0.24186002,0.15461577
clothes,0.34956235,0.34806913,0.16013278,0.51403135,0.5349831,0.17954531,0.24737364,0.3856347,0.46706578,0.6954786,0.48181018,0.14688161
door,0.48053935,0.44212404,0.41339898,0.56447303,0.5308603,0.22740313,0.3606114,0.6367359,0.59311056,0.6755768,0.4850718,0.33457208
sand,0.548081,0.15148136,0.23935556,0.30662385,0.21743709,0.115612276,0.15147983,0.15796202,0.28238803,0.42241904,0.4339258,0.23345563
fan,0.31385252,0.39272732,0.23206334,0.30552328,0.43705544,0.09664422,0.32799718,0.3552589,0.25153187,0.2500139,0.44027716,0.51859325
hat,0.32789227,0.2866942,0.17526701,0.37658143,0.39546365,0.14214489,0.17040914,0.25930604,0.24809764,0.35688952,0.30327156,0.33022368
field,0.36104423,0.5069696,0.24575356,0.26792058,0.4325167,0.071511105,0.057427578,0.43355116,0.22311448,0.2961403,0.35444123,0.48937333
clock,0.27130184,0.33563015,0.20713449,0.28348434,0.46386218,0.01830697,0.1626741,0.3903763,0.24693054,0.47983912,0.4200124,0.35850927
backpack,0.13883549,0.17749768,-0.06795038,0.29338998,0.4539527,-0.017728172,0.17061709,0.19234776,0.24498156,0.47537005,0.37201154,0.025088068
water,0.5164207,0.35338092,0.33970293,0.38643897,0.33916172,0.31743813,0.11747007,0.39952925,0.35862577,0.5120447,0.4093657,0.35666448
bottle,0.25305563,0.14609322,0.11591074,0.4960083,0.33091822,0.30234754,0.26179534,0.18555543,0.34841076,0.49864504,0.21532856,0.2662318
exam,0.22425517,0.537073,0.1649236,0.09232023,0.37941203,0.09885225,0.023653477,0.3570541,0.101763085,0.17906305,0.23013288,0.07058379
speaker,0.13125592,0.2752154,0.15470372,0.3200063,0.12519257,0.17120486,0.08798874,0.54265916,0.15492807,0.30634052,-0.012724027,0.1810705
kettlebell,-0.23901445,-0.18351614,-0.37600783,-0.219142,0.17423476,-0.17922768,-0.11224209,-0.43447834,-0.33878535,-0.06878579,0.10742578,-0.23921919
music,0.35893992,0.5016473,0.23681074,0.44250578,0.30804718,0.16826642,0.34987932,0.2891628,0.31680876,0.38056815,0.35477695,0.23928809
kitchen,0.4495511,0.4077856,0.16548909,0.70331395,0.59938705,0.36205983,0.28362727,0.45640284,0.51798296,1.0,0.59948206,0.21300276
car,0.36320263,0.37150154,0.35073936,0.52570087,0.38419774,0.25407183,0.4612632,0.49800742,0.55815625,0.44222918,0.3556872,0.3282632
egg,0.102515265,0.12900001,0.13885756,0.3530979,0.16314569,0.12970775,0.0555259,0.108681664,0.03172697,0.48984542,0.11124573,-0.03607744
plant,0.30773604,0.3533554,0.3006596,0.35980403,0.2679289,0.3864527,0.13021432,0.3285276,0.29847533,0.37410292,0.29930383,0.4197147
tree,0.4840717,0.3551979,0.21859634,0.347353,0.29554278,0.2576108,0.08973609,0.27131617,0.32188177,0.47585368,0.4689653,0.28629583
sunglasses,0.22176503,0.024354665,-0.05443442,0.2142069,0.42472106,0.11180748,0.14965275,0.13105674,0.26025084,0.30679023,0.29264092,0.11491361
hammer,0.061316174,0.19144478,0.2804361,0.12971729,0.14549853,-0.16099238,0.07449569,0.17268603,0.006224014,0.31211483,0.13059661,0.106184036
guitar,0.20730719,0.33997616,0.024769768,0.22386724,0.27531064,0.061586574,0.18577757,0.065060526,0.08768943,0.3731615,0.27492854,0.1770061
ball,0.34340936,0.3044002,0.2069704,0.28571177,0.32654437,-0.019746184,0.1227781,0.2880584,0.19142516,0.363206,0.27791905,0.35808435
wind,0.45944613,0.2477332,0.20293185,0.21233717,0.21717703,0.16742887,0.11593638,0.20098221,0.2185013,0.29213464,0.26980007,0.31518406
cat,0.50096333,0.27107024,0.13723552,0.41214395,0.3766793,0.18734197,0.28795338,0.18633467,0.28930786,0.40302196,0.3833997,0.13075417
rug,0.24761084,0.04630477,0.07793168,0.33124706,0.34920853,0.041537736,0.021484388,0.14131129,0.19439681,0.52557987,0.33366084,0.085143946
path,0.3408744,0.30590457,0.278948,0.15303685,0.09591023,0.06107889,0.039068446,0.3125115,0.21765913,0.13692747,0.2726592,0.11464213
church,0.31504753,0.60142523,0.35881233,0.35337183,0.23925965,0.22616647,0.203513,0.50958484,0.44824302,0.31348202,0.23490368,0.37752867
painting,0.27981278,0.39476392,0.17417581,0.3578534,0.21784565,0.0877551,0.12400834,0.30021095,0.3262617,0.47288316,0.34010684,0.13815534
family,0.41053185,0.48178345,0.3768655,0.5090845,0.27086234,0.3784598,0.25742447,0.51843894,0.52916837,0.48115972,0.29156756,0.2072135
toaster,-0.0297158,-0.18320236,-0.30230433,0.22758031,0.11451237,0.06582056,0.0068485374,-0.15772294,-0.01923545,0.41898626,0.084485896,-0.103486955
jacuzzi,0.25300026,-0.07496982,-0.14297448,0.27762106,0.44138253,0.53786254,0.26409313,-0.07180132,0.28584296,0.46262777,0.37966132,0.18120606
co-worker,-0.13708012,0.0503209,-0.18079089,0.018248267,0.15486127,0.02726641,0.11429977,-0.09599426,-0.07717493,0.1674232,0.0995946,-0.22528553
fireworks,0.29146615,0.12637839,0.07260743,0.40196142,0.3177501,0.027471483,0.5212575,0.2077326,0.3910232,0.3142488,0.40628195,0.50114655
bus,0.4448713,0.44644123,0.31817466,0.53305686,0.35398924,0.22334109,0.51818025,0.47092503,0.5829258,0.37497982,0.36921975,0.32056576
table,0.35717148,0.40240222,0.3699936,0.50736034,0.46885353,0.34934738,0.13322759,0.48194078,0.4266711,0.5942894,0.3927088,0.39595264
kayak,0.36335057,-0.017832767,-0.029619463,0.16559742,0.2806694,0.33887666,0.13624117,-0.1583667,0.19015774,0.09797669,0.32375675,0.054887086
